,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,Plus_Minus
196,Derrick Favors,NOP,28,45,22,23,24.2,9.2,4.2,6.8,0.62,0,0.2,0.143,0.8,1.4,0.581,3.3,6.6,9.9,1.7,1.1,0.6,1,2.2,27.1,16,0,3.1
176,Elfrid Payton,NYK,26,45,17,28,27.7,10,4.3,9.8,0.439,0.3,1.5,0.203,1.1,1.9,0.57,1.2,3.6,4.7,7.2,2.1,1.6,0.4,2,30.1,6,1,-1.9
326,Wes Iwundu,ORL,25,45,21,24,18,5.3,1.7,4.3,0.397,0.5,1.5,0.313,1.4,1.7,0.816,0.5,2,2.5,1,0.4,0.6,0.2,1.4,11.8,0,0,0.6
32,De'Aaron Fox,SAC,22,45,19,26,31.7,20.4,7.3,15.4,0.475,1,3.4,0.307,4.8,6.8,0.703,0.7,3.4,4,6.8,3.1,1.4,0.5,2.9,38.1,8,0,-1.8
302,Dewayne Dedmon,ATL,30,44,17,27,17.6,5.8,2.3,5.8,0.4,0.5,2.4,0.206,0.7,0.8,0.833,1.4,4.3,5.7,0.5,1.3,0.6,0.9,3,16.6,3,0,-0.6
419,Javonte Green,BOS,26,44,30,14,9.4,2.9,1.1,2.2,0.5,0.1,0.5,0.261,0.5,0.8,0.639,0.4,1.4,1.8,0.5,0.4,0.5,0.2,0.8,7.5,0,0,-0.1
130,Paul Millsap,DEN,35,44,27,17,24.4,12,4.3,8.8,0.486,1.1,2.5,0.44,2.4,2.9,0.833,2,3.9,5.9,1.6,1.4,0.9,0.6,2.9,24.6,5,0,5.4
20,Joel Embiid,PHI,26,44,28,16,30.2,23.4,7.5,15.9,0.474,1.3,3.7,0.348,7.1,8.7,0.814,2.8,9,11.8,3.1,3.1,0.9,1.3,3.4,45.8,34,0,3
340,Cheick Diallo,PHX,23,44,17,27,10.6,4.8,2,3.1,0.65,0,0,0.5,0.7,0.8,0.865,0.6,2.3,2.9,0.5,0.7,0.2,0.3,1.2,9.8,1,0,-1.2
372,Yogi Ferrell,SAC,27,44,17,27,11,4.2,1.5,3.8,0.396,0.4,1.6,0.275,0.7,0.8,0.865,0.1,1,1.1,1.3,0.6,0.3,0.1,0.7,8.2,0,0,-0.6
69,Norman Powell,TOR,27,44,33,11,28.8,16.4,5.9,11.7,0.502,2.1,5.4,0.398,2.5,3,0.838,0.5,3.1,3.7,1.8,1.5,1.3,0.4,2.1,26.9,0,0,4.1
304,DeAndre' Bembry,ATL,25,43,10,33,21.3,5.8,2.4,5.3,0.456,0.3,1.5,0.231,0.6,1.1,0.542,0.8,2.7,3.5,1.9,1.4,1.3,0.4,2,16.6,2,0,-6
142,Wendell Carter Jr.,CHI,21,43,15,28,29.2,11.3,4.3,8,0.534,0.1,0.7,0.207,2.6,3.5,0.737,3.2,6.2,9.4,1.2,1.7,0.8,0.8,3.8,27.5,17,0,-0.7
329,Daniel Gafford,CHI,21,43,15,28,14.2,5.1,2.2,3.1,0.701,0,0,0,0.7,1.4,0.533,1.2,1.3,2.5,0.5,0.7,0.3,1.3,2.3,12.9,0,0,-0.7
338,Shaquille Harrison,CHI,26,43,14,29,11.3,4.9,1.8,3.8,0.467,0.4,1,0.381,0.9,1.2,0.78,0.5,1.5,2,1.1,0.4,0.8,0.4,1.3,12.2,1,0,1.4
227,Draymond Green,GSW,30,43,10,33,28.4,8,2.9,7.3,0.389,0.8,3,0.279,1.5,1.9,0.759,0.5,5.7,6.2,6.2,2.3,1.4,0.8,2.6,28.9,8,2,-4.5
378,Troy Daniels,DEN,28,42,32,10,10.9,4.1,1.5,3.8,0.39,1,2.7,0.354,0.2,0.4,0.625,0.3,0.8,1.1,0.3,0.2,0.2,0.1,0.7,6.5,0,0,0
28,Paul George,LAC,30,42,30,12,29.1,21,6.9,16,0.432,3.2,7.9,0.399,3.9,4.5,0.882,0.5,5.2,5.7,3.9,2.7,1.3,0.5,2.4,36.4,5,0,5
380,Marko Guduric,MEM,25,42,18,24,11.3,4,1.5,3.7,0.396,0.6,1.9,0.309,0.5,0.6,0.92,0.3,1.4,1.7,1.1,0.9,0.3,0.2,0.8,8.3,0,0,-0.9
257,Michael Carter-Williams,ORL,28,42,19,23,18.4,7.2,2.5,5.8,0.434,0.5,1.6,0.294,1.7,2.1,0.828,1,2.3,3.3,2.4,1.1,1.1,0.5,1.9,18.3,0,0,0.5
140,Aron Baynes,PHX,33,42,19,23,22.2,11.5,4.4,9.1,0.48,1.4,4,0.351,1.3,1.8,0.747,1.7,4,5.6,1.6,1.2,0.2,0.5,3.4,21.8,3,0,-1.1
25,John Collins,ATL,22,41,15,26,33.2,21.6,8.6,14.8,0.583,1.4,3.6,0.401,2.9,3.7,0.8,2.8,7.3,10.1,1.5,1.8,0.8,1.6,3.4,41.2,22,0,-4
436,Thabo Sefolosha,HOU,36,41,27,14,10.6,2.2,0.9,2.2,0.407,0.4,1.3,0.278,0.1,0.2,0.375,0.5,1.8,2.3,0.6,0.4,0.6,0.3,1,8.1,0,0,0.9
416,Chris Silva,MIA,23,41,27,14,7.5,2.9,1,1.7,0.623,0,0,0,0.8,1.2,0.694,1.3,1.3,2.7,0.5,0.8,0.2,0.4,2,8.1,0,0,-0.7
328,Nickeil Alexander-Walker,NOP,21,41,18,23,12.2,5.1,1.9,5.5,0.339,1,2.9,0.342,0.4,0.7,0.607,0.2,1.8,2,1.8,1,0.3,0.2,1.1,10.5,0,0,-1.5
349,Mike Muscala,OKC,28,41,23,18,12,4.6,1.6,3.9,0.403,1,2.9,0.358,0.4,0.5,0.818,0.3,2,2.3,0.8,0.3,0.2,0.3,1.2,9.7,0,0,-0.4
101,Mike Conley,UTA,32,41,24,17,28.6,13.8,4.8,11.9,0.405,2,5.2,0.376,2.3,2.9,0.795,0.7,2.6,3.2,4.3,1.9,0.8,0.1,2.2,24.9,0,0,1.2
105,Rui Hachimura,WAS,22,41,15,26,29.7,13.4,5.3,11.1,0.478,0.5,1.8,0.274,2.2,2.7,0.829,1.5,4.5,6,1.7,1,0.8,0.2,2.2,25.2,3,0,-4.9
355,Alfonzo McKinnie,CLE,27,40,11,29,14.8,4.6,1.8,4.3,0.427,0.4,1.6,0.215,0.6,0.8,0.71,0.9,1.9,2.8,0.4,0.7,0.6,0.2,1.8,10.1,1,0,-2.3
190,Dwight Powell,DAL,28,40,25,15,26.5,9.4,3.7,5.7,0.638,0.3,1,0.256,1.9,2.8,0.667,1.9,3.8,5.7,1.5,0.9,0.9,0.6,2.6,21.7,1,0,4.9
318,John Henson,DET,29,40,8,32,15,5.5,2.4,4.3,0.556,0.2,0.9,0.222,0.6,1.2,0.5,1.2,2.9,4.1,1.4,0.9,0.6,1.1,2,16.5,1,0,-0.5
216,Jeff Green,HOU,33,40,24,16,18.9,8.4,2.9,6.5,0.444,1.2,3.5,0.348,1.4,1.8,0.781,0.6,2.3,2.8,0.8,0.9,0.5,0.4,1.6,14.8,0,0,-1.3
463,Jared Dudley,LAL,34,40,29,11,7.8,1.5,0.5,1.3,0.4,0.4,0.9,0.471,0.1,0.1,1,0.1,1,1.1,0.5,0.2,0.3,0.1,0.9,4.4,0,0,0.2
386,Khem Birch,ORL,27,40,16,24,19.4,3.8,1.4,2.9,0.487,0,0,0,1,1.7,0.612,1.8,2.8,4.5,0.9,0.6,0.4,0.5,1.8,12.7,0,0,-2.4
124,Isaiah Thomas,WAS,31,40,14,26,23.1,12.2,4.4,10.7,0.408,2,4.7,0.413,1.6,1.9,0.816,0.3,1.4,1.7,3.7,1.9,0.3,0.2,1.9,19.2,1,0,-5
100,Clint Capela,ATL,26,39,22,17,32.8,13.9,6.3,9.9,0.629,0,0,0,1.4,2.7,0.529,4.3,9.5,13.8,1.2,1.6,0.8,1.8,2.6,38.8,27,0,1.5
376,Rodions Kurucs,BKN,22,39,13,26,12.8,4.2,1.5,3.4,0.448,0.6,1.7,0.385,0.4,0.7,0.607,0.5,2,2.5,0.8,0.9,0.4,0.1,1.7,9,0,0,-0.7
59,Caris LeVert,BKN,25,39,18,21,29,17.7,6.5,15.6,0.414,1.8,4.8,0.381,3,4.1,0.72,1,3.1,4.1,4.1,2.5,1.1,0.2,1.8,30.2,1,1,-0.4
279,Timothe Luwawu-Cabarrot,BKN,25,39,15,24,17.2,6.3,2,4.9,0.406,1,2.8,0.358,1.3,1.6,0.839,0.6,1.7,2.3,0.6,0.8,0.4,0.2,2.1,10.9,0,0,-1.9
308,Dwayne Bacon,CHA,24,39,10,29,17.6,5.7,2.2,6.3,0.348,0.5,1.7,0.284,0.9,1.4,0.66,0.4,2.2,2.6,1.3,0.9,0.6,0.1,1.3,11.8,0,0,-3.4
269,Keita Bates-Diop,DEN,24,39,10,29,17.1,6.6,2.3,5.3,0.428,0.8,2.4,0.33,1.3,1.8,0.71,0.5,2.3,2.9,0.8,0.4,0.4,0.5,1,13.8,0,0,-4.1
112,Richaun Holmes,SAC,26,39,15,24,28.9,12.8,5.4,8.2,0.654,0,0,0,2.1,2.6,0.8,3,5.3,8.3,1,1.3,1,1.4,3.9,30.3,13,0,0.6
277,Sekou Doumbouya,DET,19,38,10,28,19.8,6.4,2.4,6.2,0.39,0.7,2.6,0.286,0.8,1.2,0.674,0.5,2.6,3.1,0.5,0.9,0.5,0.2,2.1,12.2,2,0,-4.6
339,Quinn Cook,LAL,27,38,30,8,10.8,4.8,2,4.6,0.439,0.7,1.7,0.379,0.2,0.2,0.667,0.2,0.9,1.1,1.1,0.7,0.3,0,0.6,7.9,0,0,2.2
288,Hamidou Diallo,OKC,21,38,21,17,18.4,6.1,2.6,5.8,0.452,0.2,0.9,0.2,0.7,1.2,0.622,0.8,2.4,3.2,0.6,1,0.7,0.2,2.2,12.7,2,0,0.4
261,Harry Giles III,SAC,22,38,19,19,15.2,7,3.1,5.4,0.56,0,0,0,0.9,1.1,0.767,0.9,3.3,4.2,1.3,0.9,0.6,0.4,2.6,15.8,1,0,-2.7
125,Thomas Bryant,WAS,22,38,14,24,23.7,12.1,4.8,8.1,0.599,0.6,1.4,0.407,1.8,2.5,0.737,2,4.9,6.8,1.9,1.3,0.4,0.9,2.2,25.6,8,0,-3.6
245,Ian Mahinmi,WAS,33,38,15,23,21.3,7.4,2.7,5.5,0.495,0.1,0.7,0.192,1.8,3,0.619,2.1,3.7,5.7,1.3,1.2,0.8,1.2,3,21,1,0,-2.1
282,Boban Marjanovic,DAL,31,37,19,18,9.1,6.3,2.6,4.7,0.555,0.1,0.4,0.267,1,1.3,0.766,1.4,2.7,4.1,0.4,0.7,0.2,0.2,1.3,12.2,5,0,1.6
139,Jordan McRae,DET,29,37,12,25,21.2,11.5,4,9.9,0.407,1.2,3.4,0.357,2.2,2.9,0.761,0.5,2.9,3.4,2.5,1.2,0.6,0.4,2,21.1,0,0,-2
347,Allen Crabbe,MIN,28,37,5,32,17.6,4.6,1.7,4.8,0.356,1,3.2,0.303,0.3,0.4,0.714,0.3,1.8,2.1,0.9,0.5,0.4,0.1,1.3,9.6,0,0,-6
350,Patrick McCaw,TOR,24,37,27,10,24.5,4.6,1.8,4.4,0.414,0.6,1.9,0.324,0.4,0.5,0.722,0.5,1.8,2.3,2.1,0.8,1.1,0.1,1.6,13.3,1,0,0.1
187,Moritz Wagner,WAS,23,37,14,23,19.1,9.5,3.5,6.2,0.575,0.6,1.8,0.343,1.8,2.2,0.817,1.4,3.8,5.2,1.3,1.5,0.6,0.5,3.6,19.4,2,0,-1
299,Luke Kornet,CHI,24,36,11,25,15.5,6,2.3,5.2,0.439,0.9,3,0.287,0.6,0.8,0.714,0.6,1.7,2.3,0.9,0.4,0.3,0.7,1.5,12.8,0,0,-1.2
262,Denzel Valentine,CHI,26,36,12,24,13.6,6.8,2.7,6.6,0.409,1.3,3.8,0.336,0.2,0.2,0.75,0.3,1.8,2.1,1.2,0.7,0.7,0.2,1.4,13,0,0,-1.1
330,Wayne Ellington,NYK,32,36,9,27,15.5,5.1,1.7,4.8,0.351,1.4,4,0.35,0.3,0.4,0.846,0.1,1.7,1.8,1.2,0.5,0.4,0.1,1.1,10,0,0,-0.5
237,Marc Gasol,TOR,35,36,28,8,27.5,7.6,2.8,6.6,0.419,1.4,3.5,0.402,0.7,1,0.722,0.8,5.5,6.3,3.4,1.2,0.8,0.9,2.8,24.3,3,0,6.6
370,Dzanan Musa,BKN,21,35,17,18,11.5,4.2,1.4,4,0.36,0.4,1.9,0.231,0.9,1.3,0.75,0.5,1.5,2,0.9,0.8,0.4,0,0.7,8.4,0,0,-1.2
301,Wilson Chandler,BKN,33,35,16,19,21,5.9,2.1,5.2,0.404,1.1,3.5,0.306,0.6,0.7,0.87,0.3,3.8,4.1,1.1,1,0.5,0.3,2.3,13.9,0,0,-3.4
415,Carsen Edwards,BOS,22,35,24,11,9,3,1.1,3.2,0.327,0.6,1.9,0.309,0.3,0.4,0.846,0.2,1.1,1.2,0.6,0.4,0.3,0.1,0.9,6.1,0,0,-1.3
357,Dante Exum,CLE,24,35,10,25,13.9,4.5,1.6,3.4,0.471,0.4,1.2,0.349,0.9,1.2,0.744,0.3,1.6,1.9,1.1,0.9,0.4,0.2,1.1,9.5,0,0,-3.1
459,Terance Mann,LAC,23,35,22,13,7.7,1.6,0.6,1.5,0.407,0.1,0.3,0.25,0.3,0.3,0.75,0.1,0.8,0.9,1.1,0.4,0.2,0.1,1,5.1,0,0,0.2
11,Karl-Anthony Towns,MIN,24,35,10,25,33.9,26.5,9,17.8,0.508,3.3,7.9,0.412,5.1,6.5,0.796,2.7,8.1,10.8,4.4,3.1,0.9,1.2,3.3,49.3,24,0,-0.4
388,Kenrich Williams,NOP,25,35,12,23,22.3,3.8,1.4,4.1,0.343,0.7,2.7,0.26,0.3,0.7,0.375,1.4,3.7,5.1,1.5,0.6,0.7,0.6,2.3,15.5,0,0,-1.4
407,Gary Clark,ORL,25,35,20,15,12.1,3.2,1.1,2.9,0.376,0.8,2.5,0.326,0.2,0.3,0.889,0.8,1.7,2.4,0.4,0.1,0.1,0.4,0.9,8.2,0,0,-0.2
292,Brandon Goodwin,ATL,24,34,13,21,12.7,6.1,2.2,5.6,0.4,0.8,2.6,0.299,0.8,0.9,0.933,0.3,1.8,2.1,1.5,0.9,0.4,0.1,1.3,11.4,0,0,-3.8
93,Eric Gordon,HOU,31,34,21,13,28.6,14.5,4.8,12.9,0.37,2.7,8.5,0.319,2.3,3,0.757,0.2,1.7,1.9,1.5,1.1,0.6,0.4,2,21.1,0,0,0.6
319,Dennis Smith Jr.,NYK,22,34,7,27,15.8,5.5,2.1,6.2,0.341,0.5,1.6,0.296,0.8,1.6,0.509,0.6,1.7,2.3,2.9,1.7,0.8,0.2,1.9,14,0,0,-5.7
424,Deonte Burton,OKC,26,34,20,14,8.4,2.8,1.1,3.1,0.371,0.3,1.4,0.217,0.2,0.4,0.5,0.2,1.2,1.4,0.3,0.4,0.1,0.3,0.8,5.9,0,0,-2.3
427,Justin James,SAC,23,34,13,21,6.4,2.5,1,2.3,0.423,0.3,0.8,0.346,0.3,0.6,0.476,0.2,0.7,0.9,0.5,0.2,0.2,0.3,0.5,5.4,0,0,-0.6
307,Skal Labissiere,ATL,24,33,14,19,17.2,5.8,2.5,4.5,0.551,0.1,0.4,0.231,0.8,1,0.758,2,3.2,5.1,1.3,0.9,0.2,0.9,2.7,16.4,1,0,0.4
391,Theo Pinson,BKN,24,33,15,18,11.1,3.6,1.4,4.7,0.29,0.5,2.4,0.188,0.5,0.5,0.938,0.3,1.3,1.6,1.7,1,0.5,0.1,1.1,9.1,0,0,-1.2
385,Noah Vonleh,DEN,24,33,13,20,11,3.8,1.5,2.7,0.562,0.1,0.5,0.2,0.7,0.9,0.8,1.1,2.6,3.7,0.8,0.6,0.3,0.2,1.2,10.5,0,0,-1.6
92,Jabari Parker,SAC,25,33,7,26,25.8,14.7,6,12.1,0.499,0.9,3.5,0.267,1.7,2.2,0.743,1.6,4.3,5.9,1.8,1.8,1.3,0.5,2.8,27.8,2,0,-4.1
356,Matt Thomas,TOR,25,33,24,9,9.7,4.5,1.6,3.4,0.486,1.1,2.3,0.467,0.2,0.3,0.7,0.2,1.2,1.5,0.5,0.4,0.2,0,0.9,7.4,0,0,0.7
214,James Johnson,MIN,33,32,14,18,19.4,8.4,3.2,6.7,0.479,1,2.8,0.363,1,1.5,0.646,0.8,2.9,3.7,2.3,1.5,0.8,1,2.5,20.2,0,0,-2.3
131,Jonathan Isaac,ORL,22,32,13,19,29.7,12,4.7,10.1,0.463,0.9,2.8,0.33,1.8,2.3,0.767,1.8,5.2,6.9,1.4,1.5,1.6,2.4,2.5,32.9,5,0,0.3
188,Shake Milton,PHI,23,32,19,13,19.1,9.5,3.4,6.8,0.498,1.5,3.3,0.453,1.2,1.6,0.765,0.3,1.8,2.1,2.2,1.2,0.6,0.2,2.2,16.5,0,0,0.5
147,Frank Kaminsky,PHX,27,32,12,20,22.4,11,4,8.7,0.455,1.2,3.5,0.348,1.8,2.8,0.67,0.9,4,4.9,2.2,1,0.4,0.3,2.2,21.4,1,0,-1
289,Willy Hernangomez,CHA,26,31,7,24,12.1,6.1,2.4,4.5,0.532,0.2,0.7,0.227,1.2,1.9,0.627,1.4,2.9,4.3,0.9,1,0.3,0.2,1,13.4,2,0,-0.6
405,D.J. Wilson,MIL,24,31,27,4,9,3.2,1.3,3.3,0.396,0.5,1.8,0.255,0.2,0.3,0.667,0.3,1.9,2.2,0.7,0.5,0.1,0.2,0.8,7.1,0,0,-1.2
278,Kelan Martin,MIN,24,31,12,19,16,6.4,2.3,5.8,0.392,0.8,3.1,0.26,1,1,0.968,0.4,2.7,3.1,0.7,0.6,0.2,0.3,1.6,12.1,0,0,-0.7
309,Tyler Johnson,PHX,28,31,11,20,16.6,5.7,2.1,5.5,0.38,0.8,2.7,0.289,0.8,1,0.75,0.3,1.4,1.7,1.6,0.8,0.4,0.3,1.4,11.3,0,0,-3.3
250,Grayson Allen,MEM,24,30,14,16,16.6,7.4,2.6,5.9,0.449,1.1,3,0.363,1,1.2,0.857,0.2,2,2.2,1.4,0.8,0.2,0,1.2,12.1,0,0,-2.4
202,Naz Reid,MIN,20,30,8,22,16.5,9,3.3,8.1,0.412,1.1,3.2,0.33,1.2,1.8,0.698,1.1,3,4.1,1.2,0.7,0.6,0.7,2.8,19,2,0,0.2
238,Jordan McLaughlin,MIN,24,30,7,23,19.7,7.6,2.9,5.9,0.489,1,2.5,0.382,0.9,1.3,0.667,0.2,1.4,1.6,4.2,1,1.1,0.1,1,18.6,2,0,-2.3
47,Deandre Ayton,PHX,21,30,12,18,33.2,19,8.5,15.5,0.548,0,0.1,0,2,2.6,0.769,4.1,7.9,12,1.9,2.4,0.7,1.7,3.2,41.2,20,0,1.2
337,Chris Clemons,HOU,22,29,18,11,8.7,4.9,1.8,4.3,0.405,1.1,3.2,0.351,0.2,0.2,0.857,0.1,0.7,0.8,0.8,0.6,0.2,0.2,0.7,7.5,0,0,-1.5
406,Jordan Bell,MEM,25,29,8,21,8.8,3.2,1.2,2.3,0.522,0.1,0.4,0.333,0.7,1.1,0.613,1,1.8,2.8,0.6,0.7,0.1,0.3,0.7,8,0,0,-0.3
362,Jacob Evans,MIN,23,29,8,21,14.4,4.4,1.6,4.6,0.336,0.4,1.3,0.333,0.9,1,0.862,0.3,1.1,1.4,1.1,0.9,0.4,0.4,1.4,9.2,0,0,-3.5
225,Reggie Bullock,NYK,29,29,9,20,23.6,8.1,3.1,7.7,0.402,1.3,3.8,0.333,0.6,0.7,0.81,0.4,1.9,2.3,1.4,0.7,0.9,0.1,1.9,15.3,0,0,-2.7
285,Luguentz Dort,OKC,21,29,22,7,22,6.2,2.2,5.4,0.414,0.8,2.5,0.301,1,1.2,0.778,0.5,1.3,1.9,0.7,0.5,0.8,0.1,2.7,11.6,0,0,1.7
384,Gary Payton II,WAS,27,29,13,16,14.9,3.9,1.7,4,0.414,0.4,1.6,0.283,0.1,0.3,0.5,0.9,1.9,2.8,1.7,0.7,1.1,0.2,1.9,13.1,1,0,-4.8
231,Chandler Hutchison,CHI,24,28,8,20,18.8,7.8,2.9,6.3,0.457,0.4,1.4,0.316,1.6,2.8,0.59,0.6,3.2,3.9,0.9,1,1,0.3,1.7,16.5,0,0,-5.1
76,Luke Kennard,DET,24,28,11,17,32.9,15.8,5.4,12.2,0.442,2.6,6.5,0.399,2.4,2.7,0.893,0.3,3.2,3.5,4.1,1.5,0.4,0.2,2.3,26.5,0,0,-0.8
236,Jahlil Okafor,NOP,24,28,9,19,15.1,7.6,3.1,5.1,0.611,0,0.1,0.5,1.3,2.1,0.638,1.6,2.6,4.3,1.3,1.3,0.3,0.7,2.3,16.2,2,0,-4
397,Ty Jerome,PHX,22,28,13,15,11.2,3.5,1.3,3.8,0.349,0.5,1.7,0.277,0.4,0.5,0.786,0.2,1.3,1.5,1.5,0.6,0.5,0.1,1,8.7,0,0,-3.8
439,Wenyen Gabriel,POR,23,28,9,19,7.5,2.1,0.7,1.6,0.435,0.2,0.7,0.3,0.5,0.7,0.7,0.6,1,1.6,0.3,0.6,0.4,0.2,1.3,5.7,0,0,-1.6
426,Romeo Langford,BOS,20,27,19,8,11,2.6,0.9,2.4,0.375,0.2,0.9,0.217,0.6,0.9,0.696,0.5,0.7,1.2,0.2,0.3,0.3,0.2,1.1,5.5,0,0,1.8
392,Tim Frazier,DET,29,27,9,18,13.1,3.6,1.3,3.5,0.362,0.4,1.1,0.333,0.7,0.9,0.792,0.3,0.9,1.2,3.4,1.3,0.5,0.1,1.6,10.9,0,0,-2
425,Bruno Caboclo,HOU,24,27,10,17,8.1,2.7,1.2,2.9,0.416,0.1,1,0.143,0.1,0.2,0.8,0.8,1.1,2,0.4,0.3,0.4,0.6,0.9,8.5,1,0,-0.6
433,Caleb Swanigan,POR,23,27,12,15,10.7,2.4,1,1.7,0.596,0,0.1,0,0.3,0.6,0.529,1,2.7,3.7,1.1,1.4,0.1,0.3,2.3,8.3,0,0,-1.6
414,Admiral Schofield,WAS,23,27,9,18,10.8,3.1,1.1,2.8,0.4,0.5,1.7,0.298,0.3,0.5,0.692,0.2,1,1.3,0.5,0.3,0.3,0.1,1.5,6.3,0,0,-1.3
243,J.J. Barea,DAL,36,26,13,13,15,7.5,2.8,6.9,0.413,1.1,2.9,0.382,0.7,0.7,0.944,0.4,1.5,1.8,3.8,1.3,0.2,0.1,1,14.7,0,0,1.5
442,Derrick Walton Jr.,DET,25,26,15,11,9.6,2,0.7,1.5,0.462,0.4,0.9,0.417,0.3,0.3,0.778,0.1,0.5,0.6,1,0.2,0.3,0,0.8,5,0,0,-0.3
472,Tyson Chandler,HOU,37,26,15,11,8.4,1.3,0.5,0.7,0.778,0,0,0,0.2,0.5,0.462,1,1.6,2.5,0.2,0.3,0.2,0.3,1.2,6,0,0,1.2
373,JaKarr Sampson,IND,27,26,15,11,13.1,4.2,1.8,3.1,0.593,0.1,0.5,0.154,0.4,0.8,0.55,0.6,1.7,2.3,0.3,0.3,0.3,0.3,1.7,9.2,0,0,0.6
402,Kyle O'Quinn,PHI,30,26,17,9,9.9,3.3,1.3,2.8,0.486,0.3,0.9,0.304,0.4,0.7,0.526,1.2,2.5,3.8,1.3,0.7,0.2,0.8,1.3,12.3,1,0,-1.8
251,Brandon Knight,DET,28,25,4,21,18.5,7.3,2.4,6.7,0.353,1.8,5.2,0.344,0.8,1.4,0.588,0.2,1.5,1.6,2.8,1.5,0.4,0.1,1.6,13.5,0,0,-2.8
420,TJ Leaf,IND,23,25,14,11,7.7,2.9,1.2,2.8,0.435,0.2,0.6,0.357,0.3,0.5,0.583,0.8,1.7,2.6,0.2,0.3,0.3,0.1,0.7,7.4,1,0,-0.1
353,Edmond Sumner,IND,24,25,11,14,13.8,4.6,1.9,4.4,0.423,0.4,1.5,0.263,0.4,0.6,0.667,0.4,1.1,1.5,1.6,0.8,0.6,0.3,1.4,10.7,0,0,-1.2
300,Trey Burke,PHI,27,25,13,12,13.1,5.9,2.4,5.1,0.465,0.6,1.5,0.421,0.5,0.7,0.722,0.6,0.8,1.4,2.1,0.5,0.3,0,0.8,11.2,0,0,1.5
488,Malcolm Miller,TOR,27,25,21,4,5,0.9,0.3,1,0.333,0.2,0.8,0.316,0,0.2,0.167,0,0.5,0.6,0.3,0.1,0.2,0.1,0.5,2.7,0,0,2.1
471,Ed Davis,UTA,31,25,15,10,10.7,1.3,0.6,1.4,0.412,0,0,0,0.2,0.4,0.455,1.2,2.6,3.8,0.3,0.5,0.4,0.4,2.2,8.1,0,0,-3.5
360,Courtney Lee,DAL,34,24,15,9,14.4,4.5,1.7,3.4,0.488,0.9,2,0.447,0.3,0.3,0.857,0.3,1,1.3,0.5,0.5,0.8,0.3,1.4,9.4,0,0,1.6
273,Allonzo Trier,NYK,24,24,2,22,12.1,6.5,2.1,4.4,0.481,0.8,2.2,0.358,1.4,1.8,0.791,0.3,1,1.2,1.2,0.9,0.1,0.2,1.2,9.6,0,0,-3
293,Anzejs Pasecniks,WAS,24,24,9,15,16.9,6,2.3,4.4,0.528,0,0.1,0,1.3,2.3,0.593,1.6,2.5,4.1,0.7,0.9,0.3,0.5,2.7,13.6,0,0,-0.1
369,Robert Williams III,BOS,22,23,15,8,14,4.3,1.8,2.7,0.677,0,0,0,0.6,1.1,0.56,1.5,3.2,4.7,1,0.9,0.9,1.2,1.7,16.7,0,0,-0.2
346,Isaiah Hartenstein,HOU,22,23,16,7,11.6,4.7,1.9,2.9,0.657,0,0.2,0,0.8,1.2,0.679,1.3,2.7,3.9,0.8,0.7,0.4,0.5,1.8,12.6,2,0,1.7
114,Reggie Jackson,LAC,30,23,11,12,24.2,12.8,4.7,11.2,0.416,2,4.9,0.398,1.5,1.9,0.814,0.7,2.3,2.9,4.4,1.7,0.4,0.2,1.7,23.1,1,0,4
199,Jake Layman,MIN,26,23,11,12,22,9.1,3.5,7.8,0.453,1,3.1,0.333,1,1.4,0.75,0.7,1.7,2.5,0.7,1,0.7,0.4,2,15.6,0,0,1
393,Nicolas Batum,CHA,31,22,6,16,23,3.6,1.3,3.7,0.346,0.6,2.2,0.286,0.4,0.5,0.9,1.1,3.4,4.5,3,1,0.8,0.4,1.9,16,0,0,-2.2
383,Cristiano Felicio,CHI,27,22,6,16,17.5,3.9,1.5,2.5,0.63,0,0.1,0,0.8,1,0.783,2.5,2.1,4.6,0.7,0.8,0.5,0.1,1.5,11.4,0,0,-2.6
364,Ante Zizic,CLE,23,22,4,18,10,4.4,1.9,3.3,0.569,0,0,0,0.6,0.9,0.737,0.8,2.2,3,0.3,0.5,0.3,0.2,1.2,9.6,1,0,0.6
381,Chris Chiozza,BKN,24,21,9,12,11.8,4,1.5,3.8,0.405,0.9,2,0.439,0.1,0.1,1,0.3,1.4,1.7,2.3,0.8,0.7,0.1,1.1,11,0,0,3
451,Vincent Poirier,BOS,26,21,18,3,5.4,1.9,0.8,1.6,0.485,0,0.1,0.5,0.3,0.3,0.857,0.5,1.1,1.6,0.3,0.3,0.1,0.3,1.1,5.2,0,0,-0.6
432,Michael Kidd-Gilchrist,DAL,26,21,10,11,11,2.5,0.9,2.9,0.317,0.2,1,0.25,0.4,0.5,0.818,0.6,2,2.6,0.6,0.6,0.1,0.2,1.5,6.9,0,0,0.1
379,PJ Dozier,DEN,23,21,15,6,11.1,4.1,1.7,4.3,0.396,0.3,1.3,0.25,0.3,0.5,0.636,0.2,1.2,1.4,1.4,0.5,0.3,0.2,1.3,9.1,0,0,-0.5
